val_error,train_error
0.326171875,0.2490374744
0.448046875,0.1325819939
0.481640625,0.7568975091
0.362109375,0.1545733362
0.44609375,0.495714128
0.462109375,0.617955327
0.434375,0.1849265993
0.4171875,0.0560148954
0.37421875,0.5518735051
0.709375,0.8997380733
0.337109375,0.4950424135
0.425390625,0.5776324272
0.40703125,0.403119415
0.48984375,0.6019752622
0.40546875,0.0192785431
0.361328125,0.4451813102
0.473828125,0.5807338357
0.57265625,0.7840671539
0.492578125,0.8059066534
0.458203125,0.4514904022
0.43125,0.8440949917
0.481640625,0.3467276096
0.565625,0.5774042606
0.46171875,0.5763810277
0.4453125,0.5869876742
0.728125,0.900703311
0.48125,0.3704894483
0.551953125,0.5325894952
0.444921875,0.0705328956
0.723046875,0.9002956152
0.61171875,0.6604163647
0.477734375,0.5539796352
0.42890625,0.6494503021
0.49140625,0.7046880126
0.721484375,0.9023461342
0.7203125,0.8994047046
0.35546875,0.0903826579
0.50078125,0.8329167366
0.344921875,0
0.416796875,0.4843968153
0.624609375,0.8341708779
0.4625,0.4430170953
0.596875,0.8963340521
0.481640625,0.3659286499
0.342578125,0.1274550408
0.5734375,0.7702550888
0.416015625,0.3065619767
0.723828125,0.8991143107
0.65234375,0.8265585899
0.48125,0.3423747122
0.44609375,0.5062717199
0.400390625,0.5684691668
0.430859375,0.1805016994
0.498046875,0.5604453087
